,Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts
0,20:20:33,0.4,0.7,0.1,98.6,0.2,1,744,343,3,0,3,8.35
1,20:20:43,0.8,0.0,0.1,98.8,0.2,1,796,353,2,0,2,8.26
2,20:20:53,0.9,0.0,0.4,98.6,0.1,1,1503,4416,0,0,2,8.31
3,20:21:03,0.3,0.0,0.2,99.4,0.1,1,763,337,1,0,1,8.20
4,20:21:13,0.3,0.0,0.2,99.4,0.1,1,734,325,0,0,0,8.11
5,20:21:23,0.4,0.0,0.1,99.3,0.2,1,756,335,1,0,2,8.02
6,20:21:33,0.3,0.0,0.1,99.5,0.1,1,722,322,2,0,2,7.98
7,20:21:43,0.2,0.0,0.2,99.5,0.1,1,721,321,0,0,3,7.90
8,20:21:53,0.5,0.0,0.1,99.2,0.1,1,743,334,2,0,0,7.85
9,20:22:03,0.3,0.0,0.1,99.5,0.1,1,730,326,0,0,2,7.82
10,20:22:13,0.6,0.0,0.3,99.0,0.1,1,1252,2218,1,0,1,7.78
11,20:22:23,1.2,0.0,0.5,98.2,0.1,1,2348,6832,3,0,1,7.87
12,20:22:33,1.1,0.0,0.4,98.4,0.1,1,1815,4795,3,0,3,7.87
13,20:22:43,2.9,0.0,0.7,96.3,0.1,1,2815,6594,2,0,1,8.19
14,20:22:53,0.4,0.0,0.2,99.3,0.1,1,860,372,1,0,0,8.15
15,20:23:03,0.8,0.0,0.2,99.0,0.1,1,1007,393,1,0,2,7.93
16,20:23:13,2.1,0.0,0.4,97.4,0.1,2,1648,580,3,0,1,8.11
17,20:23:23,1.0,0.0,0.2,98.7,0.1,1,1061,432,2,0,0,8.08
18,20:23:33,0.8,0.0,0.3,98.5,0.4,1,1304,2812,3,0,3,8.09
19,20:23:43,0.3,0.0,0.1,99.4,0.1,1,728,324,0,0,1,8.02
20,20:23:53,0.4,0.0,0.2,99.4,0.1,1,757,341,1,0,3,7.95
21,20:24:03,0.2,0.0,0.1,99.6,0.1,1,702,313,0,0,1,7.87
22,20:24:13,0.3,0.0,0.2,99.2,0.2,1,726,325,0,0,0,7.83
23,20:24:23,0.5,0.0,0.2,99.1,0.2,1,916,404,1,0,0,7.83
24,20:24:33,0.3,0.0,0.1,99.4,0.2,1,748,332,3,0,3,7.80
25,20:24:43,0.3,0.0,0.2,99.5,0.1,1,708,316,0,0,0,7.75
26,20:24:53,0.4,0.0,0.1,99.5,0.1,1,731,327,1,0,1,7.72
27,20:25:03,0.3,0.0,0.1,99.1,0.5,1,720,320,0,0,0,7.70
28,20:25:13,0.2,0.0,0.2,99.6,0.1,1,724,324,1,0,1,7.64
29,20:25:23,0.3,0.0,0.1,99.5,0.0,1,736,328,0,0,0,7.65
